"PartitionKey","RowKey","WeekNumber","MonthNumber","YearNumber","Duration"
"343a795c-7ee4-40d1-8ef5-f93b85059a50","32_8_2020","32","8","2020","36"
"49c65b55-8526-495b-94f2-3c653e2c1fb4","18_4_2020","18","4","2020","30.75"
"75684d5f-2ab3-4aa8-a82b-e084b10f94b4","22_5_2020","22","5","2020","40"
"54573d03-85a0-4b2c-80e5-f3f4549e266b","33_8_2020","33","8","2020","38.25"
"2da05f36-663d-45bd-bf97-407b305b74bf","32_8_2020","32","8","2020","37"
"cc7eed86-e4df-4f32-a3d6-1f48a0bc7d98","26_6_2020","26","6","2020","40.5"
"89fe4a65-76ab-4126-82e2-52f425c11f21","33_8_2020","33","8","2020","40.25"
"8aa34fdd-8885-4c15-a445-0b413705a326","25_6_2020","25","6","2020","40"
"7cdcb7be-32fa-4231-8271-549422721c9b","22_5_2020","22","5","2020","40.75"
"89a590ca-884f-4936-b62d-c8f76d79002c","25_6_2020","25","6","2020","40.5"
"583ee621-6cb0-4fb0-b82e-f60232e3e57e","33_8_2020","33","8","2020","40.25"
"e716fa8b-62e8-463e-afad-ffbef362ade6","22_5_2020","22","5","2020","39.75"
"be11fac5-4825-4caa-b0d5-1e3b4f0ecae9","22_5_2020","22","5","2020","40"
"583ee621-6cb0-4fb0-b82e-f60232e3e57e","25_6_2020","25","6","2020","39.5"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","21_5_2020","21","5","2020","32"
"f3c0fc94-161b-4960-ae2c-82fa663d1143","19_5_2020","19","5","2020","40"
"2da05f36-663d-45bd-bf97-407b305b74bf","33_8_2020","33","8","2020","45.25"
"583ee621-6cb0-4fb0-b82e-f60232e3e57e","28_7_2020","28","7","2020","38.75"
"d1515707-ab10-49c1-893e-a60b70bd0364","22_5_2020","22","5","2020","40.25"
"e881fa18-07fa-4d42-b765-66644d717b65","32_8_2020","32","8","2020","40.5"
"e072544b-169c-4b5f-89ab-391faece6499","25_6_2020","25","6","2020","41.25"
"fcf15fac-0256-49af-b093-0235c4585e34","24_6_2020","24","6","2020","43.41666666666667"
"cc7eed86-e4df-4f32-a3d6-1f48a0bc7d98","27_7_2020","27","7","2020","24"
"0d2a7e56-1519-4225-b7e3-ee857fd014d2","23_6_2020","23","6","2020","32"
"75684d5f-2ab3-4aa8-a82b-e084b10f94b4","24_6_2020","24","6","2020","40"
"2da05f36-663d-45bd-bf97-407b305b74bf","23_6_2020","23","6","2020","40.25"
"54573d03-85a0-4b2c-80e5-f3f4549e266b","21_5_2020","21","5","2020","33"
"9b673e40-f3c2-4bc6-ab78-06cf0e33bac3","33_8_2020","33","8","2020","40"
"f3c0fc94-161b-4960-ae2c-82fa663d1143","16_4_2020","16","4","2020","33"
"a415e194-bf55-4e97-8ee7-a7fa540ecc8e","19_5_2020","19","5","2020","44.5"
"49c65b55-8526-495b-94f2-3c653e2c1fb4","21_5_2020","21","5","2020","30.75"
